R_ID,Category,Resource_Name,Subjects,URL,Description,From date,To date,Has_messages,Media,Partner,Translated,Language,Periodic,Repeating_time,Every,On_day
In1,Information,Andare a messa riduce la depressione e il numero di suicidi,#religione,http://it.aleteia.org/2016/07/07/assistere-messa-prevenire-depressione-suicidio/,"L'articolo dimostra che la partecipazione ai servizi religiosi aumenta il sostegno sociale, diminuisce la depressione e contribuisce a sviluppare una prospettiva più ottimista nella vita.",,,No,,Polimi,No,Italiano,Yes,Week,2,Friday
In2,Information,Quando la demenza rivela un amore coltivato a lungo,#demenza senile,http://it.aleteia.org/2016/05/13/demenza-amore-alzheimer-memoria/,L'Alzheimer è una malattia cerebrale degenerativa che cambia drasticamente la persona: l'articolo mostra come spesso però emerga nel malati un atteggiamento affettuoso che rivela il profondo amore vissuto.,,,No,,Polimi,No,Italiano,No,,,
In3,Information,I consigli della Polizia contro le truffe agli anziani,#truffe,http://www.poliziadistato.it/articolo/358-I_consigli_della_Polizia_contro_le_truffe_agli_anziani/,Gli utili consigli della polizia di stato per evitare di incorrere nelle tipiche truffe a danno degli anziani. Particolarmente adatto per soggetti fragili e che vivono soli.,,,No,,Polimi,No,Italiano,No,,,
Prova1,Information,"Aumentano le truffe agli anziani, ecco le 5 più comuni e i consigli per evitarle",#truffe,http://www.lastampa.it/2015/06/23/italia/cronache/aumentano-le-truffe-agli-anziani-ecco-le-pi-comuni-e-i-consigli-per-evitarle-6fbIZn4jMSXMDfZ1nnWDkN/pagina.html,"Cinque esempi di truffe ricorrenti ai danni degli anziani, con relativo vademecum delle azioni da prendere per evitare di rimanerne vittime. Adatto ad anziani più fragili, che dimostrano segni di diminuzione di autonomia.",,,Yes,,Polimi,No,Italiano,No,,,
In5,Information,Anziani in viaggio: tanti consigli utili,"#vacanze, #viaggi",http://www.saninforma.it/biblioteca-della-salute/anziani-in-viaggio-tanti-consigli-utili,"L'articolo fornisce una lista delle cose più importanti che si devono ricordare quando si parte per un viaggio, prima, durante e dopo, con la lista dei documenti da portare e consigli su come traspostare medicine, etc. Risorsa da inviare a ridosso di periodi di vacanza, a persone attive e con possibilità di muoversi o che hanno pianificato un viaggio.",,,Yes,,Polimi,No,Italiano,No,,,
In6,Information,Prevenzione alle truffe,#truffe,http://www.carabinieri.it/cittadino/consigli/tematici/giorno-per-giorno/contro-le-truffe/contro-le-truffe,"Alcuni degli esempi più comuni di truffe ai danni degli anziani, con i consigli della polizia su come difendersi. Risorsa adatta per persone piuttosto fragili, o che ne hanno subite ne l passato. Utile anche per  i famigliari, per poter riconoscere le situazioni di pericolo quando dovessero presentarsi.",,,No,,Polimi,No,Italiano,No,,,
In7,Information,"Nei batteri intestinali 
dei centenari il segreto 
della longevità","#alimentazione, #salute",http://www.salute24.ilsole24ore.com/articles/18767-nei-batteri-intestinali-dei-centenari-il-segreto-della-longevita,"Risorsa educativa, dal contenuto anche piuttosto tecnico. Adatta a persone con un profilo di fragilità basso, curiose ed evenualmente che hanno avuto precedenti esperienze negative con malattie intestinali.",,,No,,Polimi,No,Italiano,No,,,
Tr4,Information,Terza età: mangiare bene  con 2 euro al giorno si può.,"#alimentazione, #risparmio",http://www.salute24.ilsole24ore.com/articles/16208-terza-eta-mangiare-bene-con-2-euro-al-giorno-si-puo,"Mangiare bene è caro, spesso e volentieri. Tuttavia è sempre possibile assumere tutti i nutrienti necessari, risparmiando qualcosa. Adatto a chi ha un profilo finanziario basso o percepisce poca pensione.",,,Yes,,Polimi,No,Italiano,No,,,
In9,Information,Integratori vitaminici e multivitaminici: naturali e sintetici a confronto.,"#alimentazione,  #salute",http://www.benessere360.com/integratori-vitaminici.html,"L'articolo è piuttosto specifico e concerne coloro che fanno regolare consumo di vitamine. E' abbastanza tecnico, quindi non adatto alle persone che non amano risorse così specifiche.",,,No,,Polimi,No,Italiano,No,,,
In10,Information,Incontinenza. Il Ssn offre troppo poco a chi ne soffre. Lo rileva l’indagine Inrca tra gli anziani,"#incontinenza, #salute",http://www.quotidianosanita.it/studi-e-analisi/articolo.php?articolo_id=41082,http://www.quotidianosanita.it/studi-e-analisi/articolo.php?articolo_id=41082,,,No,,Polimi,No,Italiano,No,,,
In11,Information,"Casa ""smart"", ma non solo: pochi consigli per aiutare gli anziani a vivere meglio",#sicurezza,http://salute24.ilsole24ore.com/articles/17199-casa-smart-ma-non-solo-pochi-consigli-per-aiutare-gli-anziani-a-vivere-meglio,"Anche se la vita quotidiana tra le pareti domestiche può diventare sempre più complicata con il passare degli anni, alcuni piccoli accorgimenti possono aiutare gli anziani a sentirsi più sicuri e tranquilli. Specialmente adatto a soggetti particolarmente fragili",,,Yes,,Polimi,No,Italiano,No,,,
Tr3,Information,Influenza stagionale: 5 cose da sapere per sconfiggerla,#influenza,http://www.salute24.ilsole24ore.com/articles/19418-influenza-stagionale-5-cose-da-sapere-per-sconfiggerla,L'articolo espone degli utili consigli sul tema dell'influenza. Ideale per tutti i soggetti nel periodo invernale.,31/11,28/02/2017,Yes,,Polimi,No,Italiano,No,,,
In13,Information,Cervello giovane con tre caffè al giorno,"#caffè, #invecchiamento cerebrale",http://salute24.ilsole24ore.com/articles/19196-cervello-giovane-br-con-tre-caffe-al-giorno,Articolo che tratta dei benefici del caffè e della caffeina sul cervello umano. Adatto a tutti i soggetti.,,,No,,Polimi,No,Italiano,No,,,
In14,Information,Il bilinguismo mantiene il cervello giovane,"#bilinguismo, #attività cognitiva",http://salute24.ilsole24ore.com/articles/19505-il-bilinguismo-mantiene-br-giovane-il-cervello,"La ricerca citata nell'articolo ha provato che l'apprendimento di una lingua straniera in età avanzata può favorire il mantenimento di buone condizioni cerebrali. Adatto a tutti, specialmente a soggetti motivati a fare nuove attività ed esperienze.",,,No,,Polimi,No,Italiano,No,,,
In15,Information,«La dieta perfetta per restare più giovani: ogni tanto digiunare»,"#alimentazione, #dieta perfetta",http://www.ilgiornale.it/news/politica/dieta-perfetta-restare-pi-giovani-ogni-tanto-digiunare-1280923.html?mobile_detect=false,"L'articolo descrive le linee guida delle ricerche del dottor Longo, secondo il quale ridurre drasticamente le calorie 2 o 3 volte all'anno aiuterebbe a perdere peso e a prevenire un grande numero di malattie. Molto utile per chi ha particolari problemi di salute, specialmente se il soggetto è anche sovrappeso.",,,Yes,,Polimi,No,Italiano,No,,,
In16,Information,Anziani più in salute se vivono con un cane,"#salute, #animali da compagnia",http://salute24.ilsole24ore.com/articles/18688-anziani-piu-in-salute-se-vivono-con-un-cane,"I cani non ci fanno soltanto compagnia, ma ci aiutano anche a tenerci in forma quando li portiamo a passeggio. Indicato per tutti coloro che vivono soli e potrebbero trarre vantaggio, tanto fisico quando psicologico, da un animale da compagnia.",,,Yes,,Polimi,No,Italiano,No,,,
In17,Information,La felicità non è una questione per ventenni. Arriva dopo!,"#felicità, #anziani",http://www.salute24.ilsole24ore.com/articles/19077-la-felicita-non-e-br-una-questione-per-br-ventenni-arriva-dopo,"I ricercatori americani hanno scoperto che la terza età è proprio il periodo della vita in cui si gode di un maggiore benessere psicologico e, di conseguenza, in cui si è più felici. Articolo particolarmente indicato a persone che hanno bisogno di essere motivate.",,,Yes,,Polimi,No,Italiano,No,,,
In18,Information,Broccoli e soia contengono molecole che rellantano l'invecchiamento,"#alimentazione, #salute",http://www.salute24.ilsole24ore.com/articles/19279-broccoli-e-soia-contengono-molecola-che-rallenta-linvecchiamento,L'articolo tratta il tema degli alimenti migliori per arginare l'invecchiamento nelle persone della terza età. Particolarmente indicato per chi dovrebbe cercare di seguire un'alimentazione più equilibrata.,,,No,,Polimi,No,Italiano,No,,,
In19,Information,Quando la statura non fa rima con salute,"#salute, #statura",http://www.salute24.ilsole24ore.com/articles/19351-quando-la-statura-br-non-fa-rima-con-salute,"Secondo l'articolo, le donne di alta statura hanno maggiori probabilità di sviluppare disturbi fisici e cognitivi. Curiosità adatta ad un pubblico femminile.",,,No,,Polimi,No,Italiano,No,,,
In20,Information,Il cuscino che trasmette musica senza disturbare chi ti sta accanto,"#salute, #sonno",http://www.quotidiano.net/benessere/corpo%20e%20mente/il-cuscino-che-trasmette-musica-senza-disturbare-chi-ti-sta-accanto-1.2399464,"Un gruppo di inventori ha brevettato Zeeq. Si tratta di un cuscino che, grazie a otto speaker wireless disposti al suo interno, permette di sentire musica senza disturbare chi sta accanto a noi. I sensori integrati analizzano inoltre i cicli del sonno e inviano segnali vibranti al russare della persona, inducendo ad assumere una posizione differente senza però interrompere il sonno.",,,No,,Polimi,No,Italiano,No,,,
In21,Information,Una lista di alimenti con più alti livelli di GABA,"#salute, #alimentazione",http://www.livestrong.com/article/478780-a-list-of-foods-with-the-highest-gaba/,"Gaba, importante amminoacido e neurotrasmettitore, è responsabile della salute del cervello, aiutando contro disturbi come ansia, stress e insonnia. È contenuto in grosse quantità nei cibi fermentati come il kefir, il miso, lo yogurt, la verza fermentata, ma anche i mirtilli, gli agrumi, mele, pere, té, cacao e vino.
",,,No,,Polimi,No,Inglese,No,,,
In22,Information,I pomodori fanno bene e rendono più belli: ecco tutti i benefici,"#salute, #alimentazione",http://www.today.it/benessere/alimentazione/pomodori-benefici-salute.html,"I pomodori sono un ottimo ortaggio estivo, ma fanno anche bene alla salute! Ricchi di vitamina A, C e licopene offrono numerosi benefici per la salute della vista, i capelli e la pelle.",,,Yes,,Polimi,No,Italiano,No,,,
In23,Information,La rivincita della pasta: non fa ingrassare ed è il cibo ideale per chi fa sport,"#salute, #alimentazione #obesità",http://www.repubblica.it/salute/alimentazione/2016/07/27/news/la_pasta_non_fa_ingrassare_e_migliora_l_indice_di_massa_corporea-144911000/,"Articolo sui benefici della pasta. Stando a un recente studio italiano, il consumo di pasta non condurrebbe all'obesità, ma favorirebbe anzi il miglioramento dell'indice di massa corporea. È inoltre un alimento importante nella dieta di atleti e sportivi.",,,No,,Polimi,No,Italiano,No,,,
In24,Information,L’età della felicità inizia a 50 anni,#anziani #felicità,http://www.corriere.it/salute/neuroscienze/15_settembre_22/eta-felicita-inizia-50-anni-38ab5eda-611d-11e5-9c25-5a9b04a29dee.shtml?refresh_ce-cp,"Secondo un recente studio dell'Istituto Australiano per gli studi familiari dopo i 50 anni il livello di soddisfazione personale aumenta. Con il rallentamento dei ritmi e la diminuzione dell'ansia per il lavoro e la famiglia, l'individuo guadagna in felicità. Adatto a soggetti informati e attivi.",,,No,,Polimi,No,Italiano,No,,,
In25,Information,"QUEST: un metodo ""scientifico"" per determinare la veridicità degli articoli sull'Alzheimer. ",#alzheimer #verifica veridicità fonte,http://www.medicalnewstoday.com/articles/313000.php?utm_campaign=trueAnthem:+Trending+Content&utm_content=57e2324904d30162b53a63a7&utm_medium=trueAnthem&utm_source=facebook,"Data la grande quantità di informazioni diposnibili online è importante riuscire a capire quali articoli siano veritieri e quali non lo siano. QUEST è un metodo per farlo, quando si tratta di articoli sull'Alzheimer. Si potrebbe invitare gli anziani a testare questo tool su vecchi articoli e vedere che risultati dà.",,,No,,Polimi,No,Italiano,No,,,
Tr2,Information,Fumare modifica i geni per più di 30 anni,#fumo #geni,http://www.medicalnewstoday.com/articles/313000.php?utm_campaign=trueAnthem:+Trending+Content&utm_content=57e2324904d30162b53a63a7&utm_medium=trueAnthem&utm_source=facebook,"Non solo fumare è pericoloso per la salute, perché porta a sviuppare una maggiore propensione per tumori e malattie alle vie respiratorie, ma modifica anche alcuni geni. Adatto a tutti, fumatori e non.",,,Yes,,Polimi,No,Italiano,No,,,
In27,Information,Il sistema statale di assitestenza agli anziani in Svezia.,#Svezia #elderly care system,https://sweden.se/society/elderly-care-in-sweden/,Un veloce articolo che descrive brevemente il sistema svedese per prendersi cura degli anziani. Magari si potrebbe lanciare una piccola discussione su FB per sentire le idee e opinioni che hanno gli anziani.,,,No,,Polimi,No,Italiano,No,,,
In28,Information,Il sistema statale di assitestenza agli anziani in Norvegia,#Norvegia #elderly care system,https://www.thestar.com/news/world/2014/10/12/why_norway_is_no_1_for_seniors.html,"Interessante soprattutto la prima parte dell'articolo in cui si descrive come la Norvegia abbia messo le nuove tecnologie al servizio dell'anziano. Interessante per tutti, perché rappresenta un esempio di come è possibile creare una ""smart city"" in modo diverso da City4Age. ",,,No,,Polimi,No,Italiano,No,,,
In29,Information,Come campare fino a 100 anni: esempi di vita vissuta,#centenari,http://www.huffingtonpost.com/entry/these-centenarians-share-the-best-life-advice_us_57e2c0abe4b08d73b82ef15f,"In questo divertente articolo (interessante anche per il video), alcuni centenari svelano quali siano stati i loro segreti per mantenersi in forma. Breve e adatto a tutti.",,,No,,Polimi,No,Inglese,No,,,
In30,Information,Anziani e attività fisica: quali benefici?,#attività fisica,http://www.correttainformazione.it/attivita-fisica-anziani-benefici/8169476.html,"L’efficacia di un’azione motoria si ripercuote anche a livello psicologico, apportando al soggetto un miglioramento delle capacità mentali e una netta sensazione di benessere diffuso. Adatto a tutti, soprattutto a chi non ama molto praticare attività fisica.",,,No,,Polimi,No,Inglese,No,,,
In31,Information,How to Easily Improve Your Memory,#memory,http://www.spring.org.uk/2013/10/10-surprising-and-mostly-easy-ways-to-improve-your-memory.php,10 surprising and mostly easy ways to improve your memory. Interesting for everyone and quite a funny article.,,,No,,Polimi,No,Inglese,No,,,
In32,information,Interpretare i dolori: talvolta sono espressione diuno stato d'animo,#dolore #corpo_mente,http://www.panecirco.com/9-tipi-dolori-fisici-collegati-emozioni/,"Una delle cose che la medicina occidentale ignora è il legame tra il nostro corpo e la nostra mente, il nostro spirito e le nostre emozioni. L’essere umano a volte è soggetto a connessioni tra il corpo e le sue emozioni, ma molti di noi non diamo importanza a questo fenomeno.",,,No,,Polimi,No,Italiano,No,,,
In33,information,Tutti dobbiamo collaborare a rendere piùefficiente il nostro SSN.,"#prevenzione, #mortalità evitabile",http://www.repubblica.it/salute/2017/02/15/news/quei_100_000_italiani_che_si_potevano_salvare-158359369/,"L'indicatore ""mortalità evitabile"" e permette anche ordinare le regioni e le province italiane in base all'assistenza che danno ai propri cittadini. In cima alla classifica delle città c'è Treviso e in generale in alto nelle graduatorie si incontrano realtà del Centro-Nord e in basso del Sud ma non mancano eccezioni. Adatto a tutti, a scopo informativo. ",,,No,,Polimi,No,Italiano,No,,,
In34,INFORMATION,"Tumori, sperimentata nuova biopsia liquida 'made in Italy' per diagnosi","#biopsia liquida, #tumori",http://www.repubblica.it/salute/medicina/2017/02/13/news/biopsia_liquida_sangue_tumori-158216954/,Uno studio condotto dall’Istituto Superiore di Sanità e l’Università Cattolica di Roma sostiene che è possibile identificare la presenza di cancro e conoscere le risposte alle terapie con un esame del sangue. Interessante per promuovere un po' di informazione sulle ricerche made in Italy.,,,No,,Polimi,No,Italiano,No,,,
In35,INFORMATION,Il bilinguismo protegge il cervello dall'Alzheimer,"#alzheimer, #bilingue",http://www.repubblica.it/salute/ricerca/2017/02/01/news/parlare_due_lingue_protegge_il_cervello_dall_alzheimer-157352396/,"Già in passato diversi studi avevano messo in evidenza quanto conoscere perfettamente due lingue protegga dalle demenze senili. Ora uno studio italiano ha messo in luce come questa attività modifichi  la funzione cerebrale e 'protegga' da alcune malattie, in particolare dall'Alzheimer. Adatto alle persone che aano essere stimolate, conoscono più lingue o manifestano i primi segni di perdita delle funzioni cognitive.",,,No,,Polimi,No,Italiano,No,,,
In36,Information,Calcium imbalance within brain cells may trigger Alzheimer's disease,"#calcium, #alzheimer",http://www.medicalnewstoday.com/articles/315833.php?utm_campaign=trueAnthem:+Trending+Content&utm_content=58a428fa04d3017674151e3f&utm_medium=trueAnthem&utm_source=facebook,New research investigates the role of calcium production in Alzheimer's disease. The neurodegenerative process may be caused by a calcium imbalance within the brain cell. Suggested for those who have the first signs of Alzheimer.,,,No,,Polimi,No,Inglese,No,,,
In37,INFORMATION,UTILE LA VACCINAZIONE ANTINFLUENZALE: Influenza. Continua il calo. Nell’ultima settimana 106mila casi in meno rispetto all’anno scorso,#vaccino_influenza,http://www.quotidianosanita.it/scienza-e-farmaci/articolo.php?articolo_id=48024,"Scende ancora il numero di casi di sindrome influenzale in Italia, dopo aver raggiunto il picco stagionale nell’ultima settimana del 2016 con 9,59 casi per mille assistiti. Adesso il tasso è di 4,37 casi per mille. In totale, dall’inizio della sorveglianza, i casi stimati sono 4.460mila, più del doppio dell'anno scorso.",01/11/2017,15/12/2017,No,,Polimi,No,Italiano,No,,,
In38,Eventi,UTILE LA VACCINAZIONE ANTINFLUENZALE: Influenza. Continua il calo. Nell’ultima settimana 106mila casi in meno rispetto all’anno scorso,#vaccino_influenza,http://www.quotidianosanita.it/scienza-e-farmaci/articolo.php?articolo_id=48024,"Scende ancora il numero di casi di sindrome influenzale in Italia, dopo aver raggiunto il picco stagionale nell’ultima settimana del 2016 con 9,59 casi per mille assistiti. Adesso il tasso è di 4,37 casi per mille. In totale, dall’inizio della sorveglianza, i casi stimati sono 4.460mila, più del doppio dell'anno scorso.",22/03/2017,30/03/2017,No,,Polimi,No,Italiano,No,,,